undefinedB-545,2020-08-06,Martin Pfatrisch,Beta-Layout,Sensorik Modul0,PCB-Fertigung und -bestueckung,Projektbezogen nicht fakturierbar,P-4773,Einkauf nicht ueber Spesen,August,Noch nicht geliefert,noch nicht
undefinedB-545,2020-08-06,Martin Pfatrisch,Beta-Layout,Sensorik Modul0,PCB-Fertigung und -bestueckung,Projektbezogen nicht fakturierbar,P-4773,Einkauf nicht ueber Spesen,August,Noch nicht geliefert,noch nicht
